ML
Support vector machine 
Regression tree 
recurrent neural network
Random forest 
Partial least square regression 
Neural Network 
Maximum entropy 
machine learning 
Logistic regression 
Generative adversarial network
Generative adversarial model 
Generative adversarial
Gaussian process model 
Fully connected neural network 
Deep Neural Network 
deep learning 
decision tree 
Convolutional Neural Network 
computer vision 
boosting 
artificial neural network
boosted
extreme learning
autoencoder
Natural language processing
genetic algorithm
